#LAMOST resolution curve power R=lambda/FWHM
#The curve abruptly change at lambda = 5850AA
#--------------------------------------------
#     wave          R
#--------------------------------------------  
      4272.98      1259.99
      4273.97      1260.65
      4274.95      1261.30
      4275.94      1261.96
      4276.92      1262.62
      4277.91      1263.28
      4278.89      1263.94
      4279.88      1264.59
      4280.86      1265.25
      4281.85      1265.91
      4282.83      1266.57
      4283.82      1267.23
      4284.81      1267.88
      4285.80      1268.54
      4286.78      1269.20
      4287.77      1269.86
      4288.76      1270.52
      4289.74      1271.18
      4290.73      1271.83
      4291.72      1272.49
      4292.71      1273.15
      4293.70      1273.81
      4294.68      1274.47
      4295.67      1275.13
      4296.66      1275.79
      4297.65      1276.45
      4298.64      1277.10
      4299.63      1277.76
      4300.62      1278.42
      4301.61      1279.08
      4302.60      1279.74
      4303.59      1280.40
      4304.59      1281.06
      4305.58      1281.72
      4306.57      1282.38
      4307.56      1283.04
      4308.55      1283.70
      4309.54      1284.35
      4310.54      1285.01
      4311.53      1285.67
      4312.52      1286.33
      4313.52      1286.99
      4314.51      1287.65
      4315.50      1288.31
      4316.50      1288.97
      4317.49      1289.63
      4318.48      1290.29
      4319.48      1290.95
      4320.47      1291.61
      4321.47      1292.27
      4322.46      1292.93
      4323.46      1293.59
      4324.45      1294.25
      4325.45      1294.91
      4326.45      1295.57
      4327.44      1296.23
      4328.44      1296.89
      4329.44      1297.55
      4330.43      1298.21
      4331.43      1298.87
      4332.43      1299.53
      4333.42      1300.19
      4334.42      1300.85
      4335.42      1301.51
      4336.42      1302.17
      4337.42      1302.83
      4338.42      1303.48
      4339.42      1304.15
      4340.42      1304.80
      4341.42      1305.46
      4342.42      1306.12
      4343.42      1306.79
      4344.42      1307.45
      4345.42      1308.10
      4346.42      1308.76
      4347.42      1309.42
      4348.42      1310.08
      4349.42      1310.74
      4350.42      1311.41
      4351.42      1312.06
      4352.42      1312.72
      4353.43      1313.38
      4354.43      1314.04
      4355.43      1314.70
      4356.44      1315.36
      4357.44      1316.02
